Title,Author,Finished,Year
The No.1 Ladies Detective Agency (No.1 Ladies Detective Agency),Alexander McCall Smith,2005-01-18,2005
The Know,Martina Cole,2005-01-27,2005
Running With Scissors,Augusten Burroughs,2005-02-13,2005
The Big Bad Wolf,James Patterson,2005-02-20,2005
Life of PI,Martel Yann,2005-03-02,2005
Native Tongue,Carl Hiaasen,2005-03-03,2005
Broken Music: Memoirs,Sting,2005-03-31,2005
The Narrows,Michael Connelly,2005-04-09,2005
The Oxford Murders,Guillermo Martinez,2005-04-26,2005
Morality for Beautiful Girls (No.1 Ladies Detective Agency),Alexander McCall Smith,2005-05-04,2005
Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2005-05-27,2005
Tanequil (High Druid of Shannara),Terry Brooks,2005-06-10,2005
How to Be a Bad Birdwatcher,Barnes Simon,2005-06-21,2005
Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,2005-06-30,2005
Visits from the Drowned Girl,Steven Sherrill,2005-07-10,2005
Letter from America: 1946-2004,Alistair Cooke,2005-09-04,2005
A Farewell to Arms,Ernest Hemingway,2005-09-13,2005
Harry Potter and the Half-Blood Prince (Harry Potter 6),J. K. Rowling,2005-09-28,2005
Watchman,Ian Rankin,2005-10-05,2005
Tourist Season,Carl Hiaasen,2005-10-16,2005
What If I Had Never Tried It,Valentino Rossi,2005-11-08,2005
The Graft,Cole Martina,2005-11-28,2005
Past Mortem,Ben Elton,2005-12-10,2005
44 Scotland Street,Alexander McCall Smith,2005-12-29,2005
4th July,James Patterson,2005-12-31,2005
